Subject,Overall Frequency,bau,arc,tec,mas,mat,geo,his,sow,inf,oek,ver,phy,cet,che,elt,fer,rest,pae,lit,hor,bio,spo,rel,phi,jur,meda,lin,ber,med
Numerische Mathematik,167,1,0,7,0,114,1,0,0,25,3,0,11,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0
Klimaschutz,167,1,5,1,6,1,9,2,24,0,33,4,0,16,1,3,0,36,5,0,4,1,1,2,1,11,0,0,0,0
Ökonometrie,167,0,0,0,0,63,0,0,1,26,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethik,166,1,2,20,2,1,1,0,17,24,7,1,0,3,0,2,0,7,9,1,2,4,0,10,37,5,8,1,0,1
Soziologie,165,1,11,6,1,4,5,4,78,10,6,1,2,0,0,1,0,2,11,2,1,1,1,3,10,1,3,0,0,0
Mathematikunterricht,164,0,0,0,0,73,0,0,4,2,1,0,0,0,0,0,0,7,73,0,0,0,1,0,0,0,0,3,0,0
Sozialer Wandel,163,0,11,6,0,1,6,11,63,16,12,2,0,2,0,1,0,3,17,0,0,0,1,2,6,2,1,0,0,0
Innenarchitektur,163,5,120,1,0,0,0,4,7,0,4,1,0,3,0,3,1,1,11,0,0,0,0,0,0,0,2,0,0,0
Software Engineering,162,0,1,1,0,5,0,0,0,139,12,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Recycling,162,21,20,3,6,0,4,1,1,0,13,2,1,72,7,3,4,0,3,0,1,0,0,0,0,0,0,0,0,0
Numerische Strömungssimulation,162,1,0,40,12,32,1,0,0,4,0,12,50,4,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0
Wirtschaftsinformatik,161,0,0,1,0,35,0,0,0,63,59,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Netzwerk,159,1,3,7,1,19,5,4,18,19,25,2,9,0,2,11,0,1,14,0,0,9,1,3,0,2,3,0,0,0
Industrie 4.0,159,2,5,16,11,2,0,0,7,36,46,3,0,1,0,6,0,0,18,0,0,0,0,0,0,5,1,0,0,0
Architekturtheorie,159,3,134,0,0,0,2,4,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,5,0,0,0,0,0
Robotik,159,0,1,43,4,5,0,0,10,55,4,3,2,0,0,4,1,2,1,0,2,0,2,0,6,6,5,0,0,3
Regionalentwicklung,157,0,57,1,2,0,27,4,13,1,27,4,0,3,0,0,0,1,12,0,2,0,1,0,0,0,1,0,1,0
Wasserversorgung,157,35,3,1,9,0,16,5,7,0,55,0,0,20,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0
Tourismus,155,1,9,2,0,0,18,5,10,2,25,2,0,18,0,0,0,1,1,0,1,1,57,0,1,1,0,0,0,0
Umweltbelastung,155,0,3,1,2,1,13,3,4,0,21,2,1,56,7,1,1,4,2,0,9,9,2,0,1,3,7,0,2,0
Schule,154,0,2,0,0,0,0,3,37,8,2,0,0,0,0,1,0,0,89,2,0,0,0,4,0,1,4,1,0,0
Prozessmanagement,154,9,8,5,1,5,0,0,4,44,58,2,0,0,0,2,0,2,12,0,0,0,0,0,0,0,2,0,0,0
Strategisches Management,154,2,4,6,0,1,1,0,4,13,78,3,0,3,0,0,0,2,32,0,0,0,3,0,0,0,1,0,0,1
Alltag,153,2,7,3,0,4,12,14,43,15,3,4,4,3,4,0,0,2,10,5,2,1,1,3,5,0,4,2,0,0
Wirtschaftspolitik,152,0,0,1,0,1,6,5,40,1,89,0,0,1,0,0,0,2,0,0,3,1,0,0,1,1,0,0,0,0
Design,151,5,49,3,2,1,4,1,8,14,4,6,3,2,0,5,7,20,11,0,2,1,0,0,1,0,1,0,0,1
Umweltpolitik,150,0,4,0,0,2,8,4,19,1,49,2,0,25,1,0,0,23,5,0,1,1,0,0,2,2,1,0,0,0
Energiepolitik,149,1,3,4,23,0,4,6,15,0,56,3,2,12,2,2,0,5,1,0,2,0,0,0,0,8,0,0,0,0
Geschäftsmodell,149,0,1,5,0,2,0,0,5,13,64,10,0,1,0,4,0,5,32,0,0,0,0,0,0,7,0,0,0,0
Recht,149,2,1,4,1,0,1,1,9,16,12,1,0,1,1,1,0,0,0,0,0,0,0,2,3,91,2,0,0,0
Demokratie,148,0,4,1,1,1,3,14,93,6,4,0,0,0,0,1,0,2,2,0,0,0,0,0,8,8,0,0,0,0
Rechnernetz,148,0,0,2,0,6,0,0,2,124,2,0,0,0,0,7,0,1,1,1,0,1,0,0,0,1,0,0,0,0
Umweltverträglichkeit,147,9,19,4,10,2,10,1,5,2,24,9,0,24,1,2,2,7,4,0,3,2,2,0,0,4,0,0,1,0
Java Programmiersprache,146,0,0,0,0,9,0,0,0,131,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
World Wide Web,146,0,1,0,0,1,2,1,6,108,11,0,0,0,0,3,0,5,5,0,0,0,0,0,0,3,0,0,0,0
Maschinelles Sehen,145,0,0,8,1,5,2,0,0,99,0,8,4,2,0,5,0,0,0,0,2,0,1,0,0,0,6,0,0,2
Technischer Fortschritt,145,3,11,21,1,0,7,6,27,17,27,3,0,2,0,1,0,4,6,0,1,0,0,1,3,4,0,0,0,0
Technische Innovation,144,1,5,31,1,4,4,1,5,10,53,3,1,6,0,3,0,3,4,0,2,0,0,0,0,6,0,0,1,0
Werkstoffkunde,144,3,2,0,8,1,1,0,0,0,0,1,18,10,8,2,88,0,1,0,0,1,0,0,0,0,0,0,0,0
Risikomanagement,144,9,8,6,1,7,5,1,3,18,54,1,0,5,0,0,0,2,17,0,1,0,0,0,0,4,2,0,0,0
Ökologie,142,0,8,0,0,4,13,2,13,1,13,1,0,8,0,0,0,10,6,1,4,46,0,4,2,2,3,1,0,0
Visualisierung,142,2,9,2,0,18,12,2,5,61,2,0,3,1,0,2,0,9,6,1,1,0,0,0,4,1,0,1,0,0
Wirtschaftsentwicklung,142,0,9,3,0,0,18,10,26,2,61,2,0,0,0,0,0,4,3,0,1,0,0,0,0,2,1,0,0,0
Landeskunde,141,0,0,0,0,0,74,42,12,0,6,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,1,0,0
Lehrbuch,141,2,0,8,6,25,24,0,8,6,9,1,23,1,4,10,4,0,6,0,1,2,0,0,0,0,0,0,1,0
Biochemie,139,0,0,0,1,1,2,0,0,0,0,0,2,8,48,0,0,1,1,0,4,59,0,0,0,0,12,0,0,0
Signalverarbeitung,139,0,0,1,0,11,0,0,0,29,0,1,9,0,1,65,0,0,3,0,0,4,0,0,0,0,9,0,0,6
Integration,139,0,1,1,1,0,6,8,47,5,20,1,0,1,0,0,0,2,22,2,0,0,4,8,3,3,1,3,0,0
Stochastischer Prozess,139,0,0,5,0,98,0,0,1,5,13,1,10,0,1,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0
Raumordnung,139,1,82,1,5,0,21,1,9,0,6,1,0,3,0,0,0,0,1,0,3,0,1,0,0,2,0,2,0,0
Gartengestaltung,139,0,77,0,0,0,1,2,0,0,0,0,0,1,0,2,0,0,2,0,24,2,27,0,0,0,1,0,0,0
Regionalplanung,139,0,84,0,6,0,22,0,4,0,10,3,0,4,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0
Mustererkennung,139,0,0,3,1,8,3,0,1,101,1,3,4,0,1,4,0,0,2,0,1,3,0,0,0,1,2,0,0,0
Deep learning,138,1,0,1,0,4,8,0,1,108,0,3,1,1,1,5,0,1,0,0,0,1,0,0,0,0,1,0,0,1
Baustoff,138,62,59,0,0,0,0,0,1,0,2,2,0,5,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0
Virtuelle Realität,136,1,3,9,0,2,1,0,9,72,9,1,1,0,0,1,0,4,8,3,0,1,3,1,1,1,3,2,0,0
Bauökologie,136,57,66,1,0,0,3,0,2,0,0,0,0,3,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
Raum,134,1,25,2,0,4,21,4,18,1,4,0,8,0,0,1,0,8,10,7,0,0,1,3,10,1,0,5,0,0
Deutsch,134,9,6,5,0,1,3,3,0,3,1,0,1,3,5,1,1,1,11,30,0,3,0,1,1,0,0,45,0,0
Produktentwicklung,134,1,1,29,6,4,0,0,2,13,45,8,0,9,0,2,1,1,6,0,4,0,0,0,0,0,1,0,0,1
Anwendung,134,1,0,10,4,33,2,0,4,23,10,1,14,5,5,4,8,0,5,0,0,1,1,0,2,1,0,0,0,0
Fernerkundung,134,2,4,4,1,0,71,0,0,15,1,1,7,5,0,2,0,3,0,0,12,3,0,0,0,0,1,0,2,0
Digitale Revolution,133,0,5,9,1,1,1,0,28,24,24,0,0,0,0,2,0,4,16,1,0,0,0,3,7,4,2,1,0,0
Hochschule,133,1,7,1,1,0,0,0,17,5,10,0,0,4,1,2,0,7,69,0,0,0,0,0,1,6,1,0,0,0
Forschung,133,2,9,5,0,2,2,4,17,5,9,3,9,0,1,1,0,11,22,3,2,8,0,1,8,4,2,3,0,0
Biomaterial,133,0,0,0,5,0,0,0,0,0,0,0,2,9,8,0,19,0,0,0,0,2,1,0,0,0,44,0,0,43
Biomedizinische Technik,132,0,0,0,4,7,0,0,0,8,1,0,8,5,2,4,6,0,1,0,1,4,0,0,0,0,44,0,0,37
Verbundwerkstoff,132,1,0,3,8,5,0,0,0,0,0,2,25,5,5,3,66,0,0,0,3,0,0,0,0,0,3,0,0,3
Biologie,131,1,2,3,0,12,3,1,4,1,1,0,3,3,7,1,0,2,3,0,1,60,0,1,9,0,9,3,0,1
Islam,130,0,6,0,0,2,6,23,33,0,0,0,0,0,0,0,0,2,2,1,0,0,0,51,2,1,0,1,0,0
Geschichte,129,5,12,3,1,12,9,31,16,3,3,5,1,0,0,1,0,5,9,0,0,2,1,4,4,2,0,0,0,0
Zeit,129,0,3,2,1,4,1,15,22,1,6,0,21,0,0,0,0,6,11,5,0,0,0,2,24,2,1,2,0,0
Verkehrsplanung,129,1,48,1,2,2,6,1,2,0,10,53,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Informationsmanagement,128,1,0,2,0,2,0,1,5,56,45,0,0,0,0,1,0,7,6,0,0,0,0,0,2,0,0,0,0,0
Informationssystem,128,2,1,1,0,6,3,0,7,74,21,3,0,0,0,1,0,3,2,0,0,0,0,0,0,1,2,0,0,1
Umweltbezogenes Management,128,1,0,5,2,2,3,0,5,1,57,0,0,16,1,0,0,4,27,0,0,1,0,0,1,2,0,0,0,0
Theorie,126,0,9,2,1,31,2,2,21,1,32,0,4,0,0,1,0,6,5,0,0,0,0,2,6,0,1,0,0,0
Projekt,125,1,8,2,1,0,1,0,25,5,9,1,0,1,0,0,0,3,49,1,0,2,4,4,0,4,4,0,0,0
Lebensmitteltechnologie,125,0,0,0,1,0,0,0,0,0,0,0,0,55,3,0,0,1,3,0,52,4,0,0,0,2,3,0,0,1
Stadtsoziologie,125,0,36,0,0,0,33,1,46,2,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Geometrie,125,0,2,1,0,93,0,0,0,6,0,0,12,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0
Rezeption,122,2,35,0,0,0,4,21,7,1,1,0,4,0,0,0,0,5,9,13,0,2,0,9,4,1,0,4,0,0
Wahrscheinlichkeitsrechnung,122,0,0,1,0,94,0,0,1,12,10,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
Gebäude,122,46,31,4,11,1,3,2,3,2,1,0,7,1,0,3,0,0,4,0,0,0,0,0,0,2,1,0,0,0
Energiebewusstes Bauen,122,58,46,2,8,0,0,0,2,0,0,0,0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0
Biografie,120,0,2,0,0,3,0,28,24,2,0,2,6,0,2,1,0,3,9,16,0,0,0,9,6,0,2,5,0,0
World Wide Web 2.0,120,0,0,3,0,0,0,1,21,42,24,0,0,0,0,1,0,11,11,1,0,0,0,0,1,3,0,1,0,0
Verteiltes System,120,0,0,1,0,3,0,0,0,105,1,1,1,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sicherheit,119,1,1,11,3,0,3,11,24,12,9,4,4,6,0,0,0,3,5,0,3,0,0,2,2,10,3,0,0,2
Vielfalt,119,0,2,0,0,1,4,2,49,0,8,0,0,0,0,1,0,4,30,2,0,3,1,4,0,3,0,5,0,0
Stadtgestaltung,119,3,70,0,0,0,22,5,10,0,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Turbulente Strömung,119,0,0,36,2,22,5,0,0,0,0,1,50,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Mathematische Modellierung,119,2,1,5,0,50,6,0,0,9,3,2,13,1,1,2,0,1,10,0,0,8,0,0,0,1,4,0,0,0
Komplexes System,118,0,0,10,2,36,1,0,6,8,13,1,17,0,0,1,0,7,7,2,0,2,0,0,3,0,0,2,0,0
Quantenphysik,118,0,0,1,0,17,0,0,1,3,0,0,90,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Soziale Software,118,0,0,2,0,1,0,1,17,28,40,0,0,0,0,1,0,8,14,0,0,0,0,0,0,6,0,0,0,0
Mobile Telekommunikation,118,0,0,0,0,2,1,0,5,32,24,1,2,0,0,46,0,2,0,1,0,0,0,0,0,1,0,1,0,0
Wandel,116,0,2,1,0,0,5,9,42,2,11,0,1,0,0,0,0,12,16,3,0,0,0,1,5,3,1,2,0,0
Smart City,116,9,55,0,0,0,7,0,10,24,3,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
