Subject,Overall Frequency,Article-de,Article-en,Book-de,Book-en,Conference-de,Conference-en,Report-de,Report-en,Thesis-de,Thesis-en
Umweltpolitik,206,0,21,53,95,2,14,2,8,6,5
Numerisches Verfahren,205,0,0,27,117,0,31,0,5,10,15
Mathematikunterricht,200,0,0,110,33,2,1,1,1,51,1
Datenschutz,200,0,0,59,48,9,11,4,0,59,10
Modellierung,200,0,0,32,82,1,12,1,1,40,31
Geschlechterrolle,199,0,0,94,60,9,5,3,7,19,2
Ästhetik,198,0,0,85,57,9,5,0,3,36,3
Markenpolitik,197,0,0,129,17,3,0,4,0,42,2
Menschenrecht,197,0,0,56,70,11,13,2,4,30,11
Informationsgesellschaft,195,0,0,109,42,13,3,5,6,17,0
Personalpolitik,195,0,0,148,28,1,1,1,0,15,1
Bildverarbeitung,192,0,0,19,91,9,49,2,6,9,7
Algorithmus,191,0,0,57,80,0,28,1,3,12,10
Führungskraft,191,0,0,148,7,1,0,4,0,29,2
Design,190,0,0,72,83,10,7,3,2,13,0
Schüler,189,0,0,121,14,2,0,1,1,45,5
Cloud Computing,188,0,0,20,123,0,26,4,2,10,3
Risikomanagement,188,0,0,71,71,2,4,1,1,31,7
Internet der Dinge,187,0,1,14,138,0,31,0,0,3,0
Arbeitsmarkt,187,0,19,52,72,1,7,3,4,19,10
Gesundheitswesen,186,0,0,84,65,7,8,4,2,13,3
Strömungsmechanik,185,0,0,59,92,0,16,3,5,7,3
Kryptologie,184,0,0,28,55,0,82,4,4,5,6
Quantenmechanik,183,0,0,36,135,0,7,2,0,0,3
Drittes Reich,182,0,0,120,19,18,3,1,0,20,1
Europäische Integration,181,0,0,84,34,23,3,5,4,23,5
Theologie,180,0,0,116,17,18,4,2,2,16,5
Nanostrukturiertes Material,180,0,0,5,126,0,19,0,5,15,10
Finite-Elemente-Methode,180,0,4,34,79,0,8,1,3,27,24
R Programm,179,0,0,38,131,0,2,6,1,0,1
Naturwissenschaften,178,0,0,79,69,8,8,2,3,8,1
Analysis,177,0,0,107,54,0,7,6,0,2,1
Familie,176,0,0,110,29,1,3,4,2,23,4
Methodologie,176,0,73,34,51,3,0,1,11,2,1
Medien,176,0,0,98,30,12,5,8,2,18,3
Wissenschaft,176,0,0,87,51,10,7,1,3,13,4
Thermodynamik,175,0,0,88,68,0,2,6,3,3,5
Datensicherung,173,0,1,50,49,4,52,7,1,3,6
Prozessmanagement,173,0,0,111,21,4,12,2,0,18,5
Umweltschutz,172,0,0,67,69,3,9,4,5,11,4
Soziale Integration,171,0,0,94,27,12,1,4,1,27,5
Gewalt,170,0,0,78,42,14,5,2,5,20,4
Regulierung,169,0,0,31,64,6,13,1,0,45,9
Lehrer,169,0,0,96,20,1,1,3,1,46,1
Wissensmanagement,168,0,0,74,45,0,13,2,8,22,4
Partielle Differentialgleichung,167,0,0,9,113,0,37,1,1,1,5
Psychoanalyse,167,0,0,123,12,12,3,7,0,9,1
Qualitätsmanagement,165,0,0,113,19,1,5,3,0,20,4
Bildung,165,0,0,92,26,8,9,3,0,24,3
Rechtsradikalismus,163,0,0,117,20,9,1,2,0,12,2
Armut,163,0,0,73,51,2,6,5,2,18,6
Kapitalismus,163,0,0,90,54,1,2,2,4,8,2
Moderne,162,0,0,76,49,11,5,0,4,15,2
Organisation,161,0,0,91,36,3,1,3,2,22,3
Dynamisches System,160,0,0,14,111,0,27,0,1,3,4
Gefühl,160,0,0,71,45,6,8,5,0,19,6
Feminismus,159,0,0,73,60,4,1,2,5,11,3
Sozialpolitik,159,0,0,75,50,7,6,2,1,14,4
Judenvernichtung,158,0,0,79,39,7,7,7,1,17,1
Sprache,158,0,0,62,68,7,3,3,1,10,4
Reform,157,0,0,75,33,9,4,2,3,29,2
Kolonialismus,157,0,0,46,72,8,7,0,3,15,6
Supply Chain Management,156,0,0,72,53,9,1,2,1,13,5
Lehrbuch,156,0,0,121,34,0,0,1,0,0,0
Landwirtschaft,156,0,38,29,62,2,10,2,3,5,5
Judentum,155,0,0,82,32,15,10,1,0,10,5
Roman,154,0,0,29,82,1,1,2,5,25,9
Architekturtheorie,152,0,0,38,88,5,4,0,3,12,2
Experiment,152,0,73,29,31,1,1,3,1,12,1
Simulation,151,1,1,25,49,1,13,0,5,43,13
Religionsunterricht,150,0,0,118,4,8,0,8,0,11,1
Geschlechterforschung,150,0,0,87,25,16,1,0,3,15,3
Interaktion,150,0,19,44,31,5,1,4,1,35,10
Lineare Algebra,150,0,0,92,52,0,0,4,0,2,0
Systemtheorie,149,0,1,76,26,5,9,1,2,27,2
Politisches System,149,0,0,110,23,1,1,3,2,8,1
Unterricht,148,0,0,94,24,4,1,7,0,16,2
MATLAB,147,0,0,29,108,0,0,2,1,5,2
Wirtschaftswachstum,147,0,0,25,96,0,8,2,1,9,6
Visualisierung,145,0,0,48,63,1,11,8,1,9,4
Logistik,145,0,0,93,27,5,0,2,1,15,2
Soziales Netzwerk,144,0,0,52,44,5,5,2,2,27,7
Finanzierung,144,0,0,81,34,0,5,3,0,19,2
Begriff,144,0,0,82,3,8,1,3,0,45,2
Kreditmarkt,142,0,72,18,36,1,4,0,0,10,1
Geschichtsschreibung,142,0,0,36,65,8,12,0,3,14,4
Nanotechnologie,141,0,0,9,85,1,24,2,5,11,4
Mitgliedsstaaten,141,0,0,24,55,10,7,1,4,32,8
Neuronales Netz,141,0,1,15,76,0,27,1,2,9,10
Empirische Sozialforschung,141,0,0,90,31,3,0,6,2,8,1
Identität,140,0,0,56,39,10,1,0,2,26,6
Weltwirtschaft,140,0,29,39,58,2,6,1,2,3,0
Krise,139,0,0,94,15,13,5,1,0,9,2
Chemie,139,0,0,74,50,0,2,6,3,2,2
Innenarchitektur,139,0,0,53,70,3,1,8,4,0,0
Kritik,138,0,0,97,14,3,0,7,1,15,1
Lehrerbildung,137,0,0,75,13,13,1,1,0,32,2
Personalentwicklung,137,0,0,105,15,1,0,4,0,12,0
Biotechnologie,137,0,0,21,88,2,7,1,7,5,6
Online-Ressource,136,0,1,7,15,1,0,0,0,53,59
Ökonometrie,136,0,86,8,35,0,2,0,2,1,2
E-Learning,136,0,0,51,27,10,19,7,5,12,5
Software Engineering,135,0,0,35,60,1,25,1,5,5,3
Psychotherapie,135,0,0,117,5,4,0,1,0,7,1
Umweltökonomie,134,0,35,20,67,0,5,0,0,2,5
Vergangenheitsbewältigung,134,0,0,89,11,16,0,3,0,14,1
Auswirkung,134,0,0,79,27,10,3,3,1,8,3
Rechnernetz,133,0,0,41,59,2,21,3,4,3,0
Politische Philosophie,133,0,0,77,27,4,3,1,1,19,1
Deutschunterricht,133,0,0,98,1,5,0,10,0,19,0
Verwaltung,133,0,0,60,36,9,4,1,0,20,3
Steuerrecht,133,0,0,83,28,4,0,0,0,14,4
Strafrecht,132,0,0,72,5,9,3,3,1,35,4
Spieltheorie,132,0,39,15,49,0,13,4,5,5,2
Unternehmensgründung,132,0,0,82,18,0,1,3,0,25,3
Arbeitswelt,131,0,0,90,15,3,1,4,2,13,3
Bevölkerungsentwicklung,131,0,11,63,18,8,1,5,2,18,5
Klimaschutz,131,0,0,72,22,5,0,9,1,17,5
Aufsatzsammlung,130,0,0,34,77,4,7,5,3,0,0
Flüchtling,130,0,0,67,33,2,1,6,1,16,4
Multinationales Unternehmen,130,0,0,30,53,1,6,1,4,33,2
Wissenschaftliches Arbeiten,129,0,0,103,20,1,0,4,0,0,1
Bekämpfung,129,0,0,50,34,4,6,2,2,27,4
Numerische Mathematik,129,0,0,35,59,0,30,1,2,1,1
Nanopartikel,129,0,0,3,52,0,9,1,3,25,36
Erwachsenenbildung,129,0,0,71,28,4,1,6,0,17,2
Rassismus,128,0,0,70,33,2,2,1,1,16,3
Geschäftsmodell,128,0,0,92,12,2,2,4,0,16,0
Technik,128,1,1,63,39,8,5,2,1,8,0
Produktentwicklung,127,0,0,67,27,3,2,2,1,21,4
Java Programmiersprache,127,0,0,56,62,0,2,4,2,1,0
Technischer Fortschritt,127,0,19,39,56,2,2,3,0,5,1
Computerspiel,126,0,0,34,71,2,4,3,0,8,4
Wirtschaftsinformatik,126,0,37,49,30,1,0,2,2,5,0
Erfolgsfaktor,126,0,0,82,7,1,0,2,0,32,2
Nanostruktur,125,0,0,1,80,0,11,0,4,11,18
Kooperation,125,0,0,56,16,14,2,2,0,32,3
Kraftfahrzeugindustrie,125,0,0,60,14,4,0,1,3,37,6
Bildungspolitik,124,0,0,60,31,9,0,5,0,17,2
Inklusion Soziologie,124,0,0,76,12,11,0,3,0,19,3
Lebensmittel,123,0,0,43,57,1,2,5,3,7,5
Bibliothek,123,0,0,67,36,5,4,4,1,6,0
Entrepreneurship,123,0,0,31,68,1,5,1,0,15,2
Deep learning,122,0,1,7,66,0,37,1,1,7,2
Mustererkennung,121,0,0,6,41,0,64,0,3,2,5
Gewalttätigkeit,121,0,0,77,21,6,1,1,3,12,0
Öffentlicher Raum,121,0,0,37,58,5,5,0,2,13,1
Corporate Social Responsibility,121,0,0,60,35,1,2,0,0,19,4
Energiepolitik,121,0,0,59,35,4,2,1,0,14,6
Alter,121,0,0,80,12,4,1,1,0,19,4
Medienpädagogik,120,0,0,74,19,8,1,3,0,14,1
Studium,120,0,0,81,13,7,0,5,0,11,3
Soziale Situation,120,0,1,47,42,4,1,2,7,11,5
Bildgebendes Verfahren,120,0,0,7,61,6,21,0,1,10,14
Zeitschrift,119,0,106,3,6,1,1,0,0,2,0
Stochastischer Prozess,119,0,0,9,78,0,19,0,5,3,5
Terrorismus,119,0,0,52,33,5,5,3,2,14,5
Lyrik,118,0,0,56,46,1,2,0,1,9,3
Geldpolitik,118,0,28,20,48,1,10,0,2,8,1
Datenverarbeitung,117,0,25,15,55,2,11,2,0,2,5
Lernen,117,0,0,73,20,2,2,5,0,12,3
Politischer Wandel,116,0,0,69,27,6,2,2,2,6,2
Informationsmanagement,116,0,0,63,24,0,10,2,0,12,5
Information Retrieval,116,0,0,11,34,1,57,0,2,7,4
Linguistik,116,0,0,38,53,4,7,4,3,4,3
Soziologische Theorie,116,0,0,87,11,2,1,3,0,12,0
Kulturelle Identität,115,0,0,44,38,4,6,1,4,13,5
Dissertation,115,0,0,2,3,0,0,0,0,94,16
World Wide Web,115,0,0,34,31,0,39,4,1,3,3
Entwicklungspolitik,114,0,47,30,20,4,1,1,1,6,4
Finanzkrise,114,0,0,38,56,1,9,2,0,6,2
Zweiter Weltkrieg,114,0,0,57,27,8,4,5,4,9,0
Polymere,114,0,0,6,71,0,6,0,6,10,15
Bautechnik,114,0,0,94,13,2,3,1,1,0,0
Antisemitismus,114,0,0,72,12,4,7,4,0,12,3
Hochschulschrift,113,0,0,0,0,0,0,0,0,97,16
Verteiltes System,112,0,1,10,28,1,60,1,4,4,3
Dienstleistung,112,0,0,59,15,11,1,2,0,21,3
Geschlechtsunterschied,112,0,0,64,19,7,0,1,0,16,5
Kindertagesstätte,112,0,0,89,2,1,0,4,0,15,1
Schwarze,112,0,0,14,85,1,1,0,6,0,5
Industrie 4.0,112,0,0,69,22,3,7,2,0,7,2
Graphentheorie,111,0,0,18,56,0,25,1,4,5,2
Einwanderer,111,0,0,53,22,7,1,3,0,22,3
Kundenmanagement,111,0,0,74,13,1,0,0,1,20,2
Entscheidungsfindung,111,0,0,29,31,2,15,1,2,22,9
Elementarteilchenphysik,111,0,0,29,57,1,20,2,0,1,1
Sicherheitspolitik,110,0,0,48,31,5,5,2,0,16,3
Interkulturalität,110,0,0,54,17,15,4,2,0,16,2
Sekundarstufe 1,110,0,0,76,0,0,0,11,0,22,1
Bioinformatik,110,0,0,12,56,0,21,1,4,5,11
Völkerrecht,110,0,0,34,15,3,5,1,1,42,9
Fundamentalismus,110,0,0,70,19,1,1,4,5,8,2
Corporate Governance,109,0,4,35,45,1,1,0,1,21,1
Inklusive Pädagogik,109,0,0,70,10,9,0,4,0,15,1
Maschinelles Sehen,109,0,0,1,44,2,49,0,0,11,2
Werkstoffkunde,109,0,0,63,34,0,3,6,1,2,0
Mathematische Physik,109,0,0,11,73,0,21,2,1,0,1
Finanzmathematik,109,0,0,42,52,0,4,2,2,2,5
Diskurs,109,0,0,43,19,3,3,1,0,31,9
Schriftsteller,108,0,0,84,10,3,0,8,0,2,1
Raumordnung,108,0,0,38,30,20,3,4,0,8,5
Politische Theorie,108,0,0,56,24,2,4,2,0,16,4
Kulturkontakt,108,0,0,42,36,10,4,2,1,10,3
Wirtschaftsmathematik,107,0,17,72,14,1,0,3,0,0,0
Sozioökonomischer Wandel,107,0,0,65,25,5,3,2,1,6,0
Evaluation,107,0,0,54,27,7,0,4,3,12,0
Multikulturelle Gesellschaft,107,0,0,57,22,7,3,3,2,11,2
Regionalentwicklung,107,0,0,40,48,7,5,0,0,6,1
Signalverarbeitung,106,0,1,10,56,0,27,1,3,6,2
Erster Weltkrieg,106,0,0,53,27,8,4,6,2,5,1
Politische Kultur,106,0,0,56,21,8,0,2,2,12,5
Online-Marketing,106,0,0,72,21,0,0,3,0,10,0
Diskursanalyse,106,0,0,30,40,4,2,0,2,26,2
Verfassungsrecht,106,0,0,22,13,12,3,1,0,44,11
Kreativität,105,0,0,52,31,7,0,2,1,12,0
Eingebettetes System,105,0,1,10,45,3,22,1,2,13,8
Bildungsforschung,105,0,0,63,15,12,0,1,0,14,0
Mehragentensystem,105,0,0,6,16,0,71,0,2,5,5
Strukturwandel,105,0,0,57,21,10,1,1,2,11,2
Fotografie,105,0,0,33,46,6,3,0,1,12,4
Digitale Revolution,105,0,0,57,28,9,1,1,0,7,2
Governance,104,0,0,39,33,4,4,0,0,23,1
Bürgerbeteiligung,104,0,0,41,26,5,3,2,3,19,5
Medizin,104,0,0,36,29,12,13,0,2,9,3
Netzwerk,103,0,0,32,36,4,6,1,4,10,10
Krieg,103,0,0,36,33,7,5,2,3,17,0
Virtuelle Realität,103,0,0,22,37,1,17,1,2,18,5
Politische Bildung,103,0,0,75,4,8,0,3,0,12,1
Makroökonomie,103,0,31,27,37,0,2,2,3,1,0
Antike,103,0,0,48,29,8,9,1,0,4,4
Geschlechterverhältnis,102,0,0,50,18,9,4,0,2,18,1
Landeskunde,102,0,0,91,5,0,0,5,1,0,0
Krankenhaus,101,0,0,59,8,0,0,0,0,29,5
Mensch,101,0,0,64,16,4,3,2,1,8,3
JavaScript,101,0,0,21,78,0,0,1,0,1,0
Ökologie,101,0,0,52,37,4,1,0,3,1,3
Gesundheitsförderung,100,0,0,73,4,6,0,1,1,14,1
Betriebswirtschaftslehre,100,0,0,89,3,2,1,3,0,1,1
Raum,100,0,0,27,39,8,8,1,0,13,4
Recycling,100,0,0,25,54,5,3,2,3,6,2
Wahrnehmung,100,0,0,58,13,3,0,1,0,18,7
Widerstand,100,0,0,68,14,6,1,2,0,7,2
Integration,100,0,0,51,24,4,0,0,1,18,2
Change Management,99,0,0,79,6,5,0,0,0,9,0
Geometrie,99,0,0,31,46,2,14,2,0,2,2
Wahrscheinlichkeitsrechnung,98,0,0,48,33,0,14,3,0,0,0
Internationale Kooperation,98,0,0,26,48,7,0,0,2,12,3
Wahrscheinlichkeitstheorie,98,0,0,23,56,0,18,0,0,0,1
Biodiversität,98,0,0,26,35,2,5,3,0,8,19
Sozialisation,98,0,0,72,4,6,0,1,0,13,2
Ländlicher Raum,97,0,0,48,22,7,2,1,1,12,4
Journalismus,97,0,0,60,12,2,0,0,0,21,2
Robotik,97,0,0,13,47,5,21,1,2,8,0
COVID-19,97,0,0,61,27,3,3,0,0,3,0
Politische Beteiligung,97,0,0,34,28,4,3,2,1,19,6
World Wide Web 2.0,97,0,0,59,18,2,2,4,3,7,2
Pandemie,96,0,0,67,23,2,2,0,0,2,0
Mehrsprachigkeit,96,0,0,32,40,5,5,1,1,10,2
Eltern,96,0,0,79,5,1,1,1,0,9,0
Wirtschaftsethik,96,0,0,47,21,14,3,1,1,7,2
Politische Wissenschaft,96,0,0,60,24,1,1,2,2,5,1
Künste,95,0,0,35,28,21,6,2,0,1,2
Anwendung,95,0,0,16,53,2,17,2,3,1,1
Qualitative Sozialforschung,95,0,0,59,23,5,1,1,0,5,1
Tourismus,95,0,0,36,38,4,2,2,3,3,7
Agrarpolitik,95,0,38,11,33,3,4,0,2,4,0
Erziehung,95,0,0,68,18,3,0,0,0,4,2
Organisationsentwicklung,95,0,0,81,5,2,0,0,0,7,0
Technische Mechanik,95,0,0,78,9,0,7,0,0,0,1
Kunststoff,95,0,0,35,46,1,2,1,2,5,3
Denkmalpflege,94,2,0,41,19,13,3,3,0,12,1
Technische Innovation,94,0,0,13,69,1,4,1,1,4,1
Gartengestaltung,94,0,0,66,18,1,1,6,2,0,0
Umweltbelastung,94,0,7,20,45,2,5,2,3,7,3
Bewertung,94,0,4,41,17,0,3,2,2,22,3
Arbeitsbedingungen,94,0,0,45,15,2,5,4,3,18,2
Psychisches Trauma,94,0,0,73,4,8,0,2,0,5,2
Mitarbeiter,94,0,0,56,9,2,1,2,0,23,1
Macht,94,0,0,48,19,7,3,1,1,13,2
Politische Kommunikation,93,0,0,41,15,3,1,2,0,28,3
Wasserversorgung,93,0,0,26,56,1,4,2,1,1,2
Geologie,93,0,0,35,37,2,9,3,1,1,5
Prognose,93,0,24,25,30,1,1,0,0,7,5
Projekt,93,0,0,64,7,8,1,0,2,10,1
Verbundwerkstoff,92,0,0,4,63,0,5,0,6,7,7
Vielfalt,92,0,0,57,17,5,2,1,0,7,3
Fachdidaktik,92,0,0,69,3,5,0,3,0,11,1
Informationssystem,91,0,0,10,24,2,36,1,2,12,4
Kosmologie,91,0,0,19,51,2,14,0,1,2,2
Sonderpädagogik,91,0,0,65,6,6,0,2,0,10,2
Migrationshintergrund,91,0,0,56,4,4,0,2,0,23,2
Theater,91,0,0,37,23,14,1,2,2,10,2
Forschungsmethode,91,0,0,43,41,3,1,0,1,2,0
Arbeitsrecht,91,0,0,59,7,5,0,0,0,18,2
Ausbildung,90,0,35,23,21,3,1,1,1,4,1
Einwanderung,90,0,0,41,24,12,2,1,1,8,1
Organisationswandel,90,0,0,51,21,0,2,1,0,14,1
Öffentlichkeitsarbeit,90,0,0,63,6,1,0,1,0,17,2
App Programm,90,0,0,22,59,0,0,2,0,6,1
Multimedia,90,0,0,10,37,3,28,1,2,5,4
Musik,89,0,1,36,26,7,10,0,1,7,1
Unternehmenskultur,89,0,0,57,12,4,1,0,1,14,0
Umfrage,89,0,0,56,7,0,0,2,2,21,1
Welthandel,88,0,29,8,39,0,7,0,2,3,0
Kostenrechnung,88,0,0,74,3,2,0,4,0,5,0
Quantenphysik,87,0,0,13,65,2,6,1,0,0,0
Energiebewusstes Bauen,87,0,0,30,39,2,3,10,0,1,2
Urheberrecht,87,0,0,19,12,6,2,0,0,40,8
Regionalplanung,87,0,0,29,31,11,4,3,4,2,3
Nationalismus,87,0,0,29,43,1,3,0,2,6,3
Mobile Computing,87,0,0,8,47,0,24,0,4,0,4
Messung,87,0,0,22,37,1,2,1,2,14,8
Sekundarstufe,87,0,0,68,6,1,0,3,0,8,1
Soziale Software,87,0,0,58,17,2,3,4,1,2,0
Wissenschaftliches Manuskript,87,0,0,63,15,0,0,8,0,1,0
Schulentwicklung,87,0,0,58,6,8,0,2,0,12,1
Algebra,87,0,0,46,21,0,15,3,0,2,0
Bildungswesen,87,0,0,47,26,6,0,2,0,4,2
Deutsche,87,0,0,53,8,4,0,4,1,16,1
Blockchain,86,0,0,12,47,0,13,2,3,9,0
Biologie,86,0,0,44,36,0,3,0,1,2,0
Literaturwissenschaft,86,0,0,44,21,7,6,2,1,4,1
Chancengleichheit,86,0,0,46,12,4,2,1,0,19,2
Differentialgleichung,86,0,0,17,49,0,18,1,0,1,0
C++,86,0,0,41,41,0,0,4,0,0,0
Soziale Bewegung,86,0,0,30,32,1,0,1,3,17,2
Smart City,85,0,0,12,59,0,13,1,0,0,0
Webdesign,85,0,0,33,46,0,0,4,1,1,0
Differentialgeometrie,85,0,0,12,51,0,16,0,1,0,5
Sklaverei,85,0,0,21,54,0,2,0,2,0,6
Verstädterung,85,0,0,12,50,1,3,1,7,2,9
Konfliktregelung,85,0,0,50,20,2,0,4,1,5,3
Numerische Strömungssimulation,84,0,0,9,35,0,5,0,3,24,8
Zeit,84,0,0,38,32,4,4,0,2,4,0
Lebensbedingungen,84,0,0,54,12,4,0,1,0,12,1
Zahlentheorie,84,0,0,26,44,0,9,2,2,1,0
Nationalbewusstsein,84,0,0,23,37,3,3,0,5,12,1
Demokratisierung,84,0,0,32,24,6,2,0,0,16,4
Sozialpädagogik,84,0,0,72,0,1,0,2,0,9,0
Spanisch,84,0,0,16,50,1,4,1,2,5,5
Diskriminierung,83,0,0,44,20,2,0,1,0,16,0
Partizipation,83,0,0,39,19,1,4,2,0,15,3
Quantenfeldtheorie,83,0,0,6,62,0,7,0,0,1,7
Umweltverträglichkeit,83,0,0,43,27,5,0,3,3,2,0
Bank,83,0,0,40,12,5,0,0,1,21,4
Astrophysik,82,0,0,9,42,0,19,2,1,6,3
Mobile Telekommunikation,82,0,0,26,41,1,5,0,3,6,0
Drama,82,0,0,29,27,4,3,2,0,13,4
Kundenorientierung,82,0,0,54,1,4,0,4,0,18,1
Geldtheorie,82,0,59,4,16,0,0,0,0,2,1
Mathematische Modellierung,82,0,0,15,47,0,10,0,2,6,2
Soziale Gerechtigkeit,82,0,0,40,26,4,1,1,1,7,2
Lebenslanges Lernen,82,0,0,39,17,3,1,8,1,13,0
Öffentlichkeit,82,0,0,37,16,8,3,1,1,16,0
Elektrotechnik,82,0,0,64,9,0,5,3,0,1,0
Astronomie,82,0,0,25,46,0,2,2,3,2,2
Komplexes System,82,0,0,9,43,1,17,0,1,7,4
Erkenntnistheorie,82,0,0,36,27,1,1,1,0,16,0
Didaktik,81,0,0,60,9,4,0,3,0,5,0
Mobilfunk,81,0,0,12,40,0,15,1,1,12,0
Internationalisierung,81,0,0,37,15,4,6,0,1,18,0
Sport,81,0,0,48,10,7,2,2,1,5,6
Universität,81,0,0,36,19,6,2,1,2,15,0
Postkolonialismus,80,0,0,24,40,1,3,0,2,7,3
