Subject,Overall Frequency,bau,mas,arc,phy,elt,inf,tec,oek,sow,jur,mat,pae,hor,meda,rest,geo,fer,lit,phi,his,ver,lin,cet,che,bio,rel,spo,ber,med
Jugend,1058,0,0,6,0,0,13,4,17,429,22,1,383,0,56,7,5,0,16,3,36,0,10,0,0,0,35,15,0,0
Führung,1045,3,1,3,0,0,5,13,453,282,8,0,255,0,4,1,0,0,1,7,4,0,1,1,0,1,0,2,0,0
Statistik,1023,2,4,1,20,4,99,10,147,97,3,513,37,3,13,10,19,0,1,0,2,2,1,8,6,18,0,3,0,0
Islam,1014,0,0,6,0,0,1,0,11,223,18,2,27,0,2,9,10,0,4,12,152,0,1,0,0,2,534,0,0,0
Künstliche Intelligenz,968,6,7,14,9,13,493,37,59,59,47,53,30,1,28,12,8,1,9,36,4,9,6,5,4,6,2,2,1,7
Kommunikation,948,6,1,15,1,4,78,15,200,175,14,10,168,1,10,70,6,0,50,8,21,2,79,3,0,3,8,0,0,0
Rezeption,944,3,1,52,6,0,1,2,12,92,20,2,52,0,1,53,4,0,236,82,168,0,47,1,0,3,105,1,0,0
Soziologie,923,2,1,19,2,1,14,11,39,568,10,7,73,1,13,21,13,0,11,53,30,2,4,0,0,1,21,6,0,0
Religion,923,2,0,3,4,0,0,0,10,175,19,2,13,0,5,6,4,0,25,63,123,0,8,0,0,5,455,1,0,0
Stadtentwicklung,916,8,0,437,0,0,3,2,35,166,6,1,11,3,1,1,176,0,0,1,39,14,0,12,0,0,0,0,0,0
Wirtschaft,872,0,1,5,0,1,14,9,351,166,41,44,28,1,4,7,27,0,6,13,120,4,4,8,1,1,11,5,0,0
Innovationsmanagement,857,2,3,6,0,2,26,175,382,51,9,2,171,0,8,4,2,0,0,1,0,5,0,5,0,0,0,1,1,1
Demokratie,849,0,1,4,0,1,10,2,27,511,67,2,22,0,1,5,5,0,12,65,88,0,3,0,0,0,22,1,0,0
Mathematik,822,0,0,1,44,3,49,14,16,6,1,554,67,0,1,13,3,0,3,17,2,0,5,2,5,12,2,1,0,1
Wirtschaftspolitik,812,0,0,4,0,0,1,5,546,142,11,2,6,7,1,6,20,0,0,2,55,0,0,2,0,2,0,0,0,0
Maschinelles Lernen,799,6,3,1,21,15,594,13,14,1,3,73,4,0,14,3,7,3,0,2,0,4,2,2,6,5,0,2,0,1
Stadt,790,13,0,222,0,1,4,4,25,176,2,1,14,9,4,2,178,0,9,2,76,11,3,14,1,5,7,7,0,0
Recht,788,3,2,1,0,1,19,6,75,74,462,0,36,1,22,3,3,0,7,14,28,1,7,2,1,0,20,0,0,0
Wirtschaftsentwicklung,780,1,0,12,0,0,7,7,428,137,8,1,10,4,2,13,60,0,1,0,81,3,1,2,0,0,1,1,0,0
Datenanalyse,764,3,3,3,34,3,249,10,74,58,11,201,14,1,14,10,41,1,1,0,0,1,1,3,6,15,0,2,2,3
Ethik,747,1,3,6,2,2,40,30,25,78,26,2,71,4,31,23,3,0,16,276,7,1,9,5,1,11,67,3,0,4
Computersimulation,746,4,6,5,131,15,120,55,74,10,0,204,4,2,13,10,18,10,0,2,0,8,0,7,23,15,0,3,1,6
Nationalsozialismus,743,0,0,21,2,0,0,5,5,225,28,0,23,1,11,6,3,0,20,13,341,1,7,1,0,0,28,2,0,0
Internet,740,0,1,1,3,16,232,7,70,139,99,3,59,0,6,49,7,0,10,4,11,2,11,1,0,0,8,1,0,0
Informationstechnik,724,2,2,11,0,44,262,14,195,52,23,5,58,0,2,26,8,0,1,6,5,4,2,0,0,0,0,2,0,0
Projektmanagement,724,51,4,45,0,0,108,29,260,33,5,14,168,0,1,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0
Schule,707,0,0,2,0,1,16,3,12,169,15,1,416,0,12,4,2,0,4,4,18,0,6,0,1,0,17,4,0,0
Migration,697,0,0,6,0,0,0,0,85,265,17,0,64,1,7,8,108,0,18,5,75,1,14,0,0,0,19,4,0,0
Personalpolitik,692,1,0,1,0,1,9,14,288,242,8,1,96,0,17,1,7,0,0,0,2,1,0,0,0,1,1,1,0,0
Klimaänderung,677,22,9,56,2,2,1,1,85,69,16,3,18,31,2,136,110,0,3,3,18,8,0,43,2,31,3,3,0,0
Internationaler Vergleich,676,0,0,13,0,1,3,13,176,235,30,1,113,1,8,12,14,0,4,1,32,1,4,1,0,2,7,4,0,0
Mathematisches Modell,671,7,8,4,97,13,22,52,59,8,1,202,7,2,21,8,54,20,0,2,0,11,0,14,13,43,0,0,1,2
Sozialer Wandel,661,0,0,17,0,1,26,12,35,292,18,2,72,0,5,14,22,0,5,16,92,3,2,3,0,0,21,3,0,0
Neue Medien,646,0,0,7,3,7,74,10,33,131,11,10,193,0,4,68,7,0,24,13,12,0,28,1,1,0,8,1,0,0
Führungskraft,645,0,0,0,0,0,12,4,269,163,6,2,163,0,4,5,0,1,3,2,4,0,5,0,0,0,0,2,0,0
Hochschule,641,1,1,8,2,2,11,12,74,89,25,1,349,0,3,27,4,0,2,4,11,0,4,6,2,0,1,2,0,0
Psychologie,631,0,0,9,1,0,6,4,50,136,3,8,286,0,14,38,3,0,16,15,9,0,10,0,0,0,17,6,0,0
Sozialarbeit,630,0,0,5,0,0,0,3,21,147,15,2,405,1,10,3,8,0,0,3,1,0,0,1,0,0,2,3,0,0
Theorie,613,0,1,16,6,2,3,8,96,175,19,45,81,0,3,33,6,0,21,45,19,0,14,0,1,1,16,1,0,1
Physik,612,0,3,0,399,5,12,12,1,2,0,58,15,1,11,6,14,1,3,21,4,2,3,1,14,16,2,5,0,1
Außenpolitik,611,0,0,0,0,0,0,4,15,274,8,0,0,0,0,0,6,0,3,2,289,1,0,0,0,0,9,0,0,0
Innovation,611,4,4,6,1,2,10,92,253,52,14,4,90,4,7,13,18,1,1,4,7,8,0,3,1,2,4,2,0,4
Zukunft,608,4,1,21,0,1,18,22,163,175,9,2,41,1,2,33,24,1,13,19,32,3,0,7,1,0,14,1,0,0
Marketing,605,1,0,2,0,3,22,6,456,33,5,7,26,0,9,11,2,0,1,0,1,3,1,1,1,0,1,13,0,0
Kunst,604,1,1,79,2,0,8,5,6,58,5,5,98,3,2,120,7,0,46,32,88,0,19,0,1,3,14,1,0,0
Klein- und Mittelbetrieb,602,2,4,2,0,0,26,30,350,55,9,4,104,1,4,1,3,0,1,0,4,0,0,2,0,0,0,0,0,0
Kollektives Gedächtnis,577,2,0,18,0,0,0,3,1,137,6,0,20,0,1,18,4,0,32,16,284,1,16,0,0,0,16,2,0,0
Geschichte,574,5,2,13,3,1,5,7,15,96,11,16,33,4,2,29,17,0,30,17,205,7,21,4,1,2,24,4,0,0
Mathematikunterricht,570,0,0,0,3,0,2,0,1,15,0,262,266,0,0,11,0,0,0,0,0,0,8,0,0,1,0,1,0,0
Wirtschaftswissenschaften,565,0,0,0,0,0,41,2,340,21,5,136,8,0,0,1,0,0,0,8,3,0,0,0,0,0,0,0,0,0
Alltag,563,2,0,9,6,0,21,7,17,175,4,4,59,3,8,8,23,0,31,13,133,4,5,3,5,3,18,2,0,0
Soziale Ungleichheit,552,0,0,5,0,0,2,1,54,308,8,2,99,0,13,2,14,0,3,9,26,0,1,1,0,0,4,0,0,0
Film,548,0,0,6,1,2,2,5,4,67,4,0,20,0,6,218,2,0,97,4,61,1,37,0,0,0,11,0,0,0
Personalentwicklung,540,0,0,0,0,0,8,11,218,192,1,2,93,0,5,1,4,0,0,1,1,0,0,0,0,0,0,3,0,0
Computersicherheit,534,0,0,0,0,24,396,2,42,14,17,19,9,0,4,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Methode,530,5,4,4,6,0,9,11,43,122,3,32,80,4,6,24,34,5,13,15,11,0,17,13,20,27,19,0,2,1
Christentum,528,0,1,1,0,0,1,1,5,74,7,0,19,0,2,8,0,0,4,25,65,0,1,0,0,4,310,0,0,0
Data Mining,526,2,0,1,1,1,358,3,47,10,6,57,5,0,10,12,2,0,1,1,0,2,1,0,0,5,0,0,1,0
Sozialwissenschaften,525,0,0,4,1,0,15,8,41,283,13,52,47,0,0,8,6,0,3,24,10,1,6,0,0,0,3,0,0,0
Electronic Commerce,508,1,0,3,0,5,146,1,258,21,26,5,27,2,2,4,2,0,0,0,2,1,1,0,0,0,0,1,0,0
Prävention,508,4,1,10,1,0,5,5,35,143,57,0,148,2,52,10,8,1,1,0,5,0,0,4,1,0,7,8,0,0
Deutschunterricht,502,0,0,0,0,0,1,0,0,12,0,5,189,0,0,1,0,0,118,0,1,0,175,0,0,0,0,0,0,0
Drittes Reich,498,0,0,7,1,0,0,3,4,150,13,0,15,0,16,7,1,0,17,1,245,2,3,0,0,0,12,1,0,0
Big Data,496,4,0,11,2,0,269,5,48,35,17,43,7,1,16,9,10,0,0,4,3,4,1,1,0,2,0,0,0,4
Forschung,496,3,0,13,12,2,8,10,32,117,28,4,100,3,27,36,6,0,9,23,25,3,10,2,2,11,9,1,0,0
Finite-Elemente-Methode,496,16,17,2,102,13,19,101,2,0,0,158,1,0,11,4,7,18,0,0,0,8,0,6,1,0,0,2,1,7
Wissensmanagement,494,0,1,4,0,0,119,33,186,47,2,7,71,1,4,8,5,0,0,2,0,2,0,1,0,0,0,1,0,0
Grundschule,491,0,0,1,1,0,1,3,0,47,1,46,288,0,0,4,0,0,14,5,5,0,47,0,0,5,17,6,0,0
Geschlechterrolle,490,1,0,4,0,0,2,3,16,252,0,0,69,0,6,5,3,0,21,7,52,0,16,0,0,1,29,3,0,0
Juden,488,0,0,3,2,0,0,1,1,77,4,2,9,0,2,5,1,0,56,7,258,2,5,1,1,0,50,1,0,0
Entwicklung,487,1,1,4,3,1,15,3,93,162,8,5,71,3,13,9,12,2,4,10,41,2,3,5,1,4,8,3,0,0
Strömungsmechanik,487,3,5,0,210,1,4,170,0,0,0,60,0,0,1,0,12,1,0,0,0,2,0,11,2,1,0,0,3,1
Pädagogik,486,3,0,6,0,1,4,0,3,91,2,1,315,1,3,8,0,0,7,19,5,0,8,0,0,0,6,3,0,0
Controlling,483,1,2,1,0,1,40,14,336,16,0,3,49,1,14,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0
Kapitalismus,475,0,1,4,0,1,4,5,147,193,7,0,18,1,3,5,5,0,3,31,31,0,1,4,0,1,9,1,0,0
Arbeitswelt,473,1,0,4,1,0,13,36,146,112,13,0,122,0,7,2,2,0,2,6,5,1,0,0,0,0,0,0,0,0
Städtebau,470,17,0,294,0,1,1,0,4,33,2,0,6,1,0,3,54,0,1,0,42,5,0,4,0,0,1,1,0,0
Organisation,470,1,1,3,0,0,13,3,171,133,12,3,103,0,3,7,1,0,1,3,4,0,2,1,0,1,2,2,0,0
Erneuerbare Energien,467,17,168,31,3,37,1,10,90,8,22,1,2,6,0,8,17,0,0,0,0,8,0,24,12,2,0,0,0,0
Menschenrecht,461,0,0,1,0,0,2,0,12,123,225,0,19,0,4,2,4,0,2,26,22,0,1,0,0,0,18,0,0,0
Staat,459,0,0,1,0,0,1,1,30,168,54,0,7,2,1,3,11,0,3,21,76,0,1,0,0,0,79,0,0,0
Wirtschaftstheorie,457,0,0,1,0,0,4,2,281,66,4,3,6,69,1,2,2,0,3,5,4,1,0,0,0,0,1,2,0,0
Prozessmanagement,457,10,3,9,0,5,100,17,200,17,1,16,61,0,9,5,0,0,0,0,0,2,0,2,0,0,0,0,0,0
Risikomanagement,456,12,1,10,0,0,30,8,231,24,16,13,75,3,7,3,7,0,0,0,2,2,0,10,0,0,0,1,0,1
Gesundheitswesen,452,0,0,1,0,1,15,0,57,46,18,28,22,0,217,6,4,0,1,1,13,0,1,1,0,1,1,3,0,15
Sprache,442,2,0,2,1,0,4,1,3,50,1,3,29,0,0,6,2,0,122,18,12,0,175,0,0,1,10,0,0,0
Arbeitsmarkt,441,0,0,2,0,0,0,10,242,107,4,0,47,1,4,2,9,0,0,0,11,1,0,1,0,0,0,0,0,0
Ästhetik,441,2,1,45,0,1,3,2,2,31,0,1,44,0,2,59,3,1,81,95,14,0,38,1,0,3,12,0,0,0
Internationale Politik,437,0,1,1,1,0,3,5,21,260,26,0,0,0,0,2,6,0,0,11,82,0,0,6,0,1,11,0,0,0
Softwareentwicklung,433,0,1,0,0,4,340,9,37,2,2,15,12,0,2,0,1,0,0,0,1,1,1,0,0,4,0,0,0,1
Numerisches Verfahren,428,4,7,0,84,16,31,36,8,0,1,208,1,0,3,3,7,2,0,0,0,4,0,7,3,3,0,0,0,0
Familie,427,0,0,2,0,0,1,1,19,185,15,1,99,0,5,0,5,0,40,3,34,1,3,0,0,0,12,1,0,0
Kolonialismus,426,0,0,6,0,0,1,2,6,155,5,0,5,0,1,5,5,0,11,5,196,0,5,0,0,0,18,0,0,0
Massenmedien,424,0,2,8,0,0,6,5,12,155,11,0,31,0,4,99,3,0,21,6,31,0,17,0,0,0,12,1,0,0
Bildverarbeitung,424,0,5,0,11,24,239,8,2,0,0,45,1,3,36,3,19,0,0,0,0,1,0,3,3,6,0,0,1,14
Schüler,423,0,0,0,4,0,0,0,6,88,2,10,245,1,2,3,8,0,12,2,4,0,18,1,2,1,12,2,0,0
Gewalt,421,0,0,0,0,0,5,8,1,182,21,0,55,0,5,3,4,0,9,16,67,0,5,0,0,0,36,4,0,0
Soziale Integration,419,2,0,7,0,0,0,4,18,208,11,0,50,1,2,3,35,0,3,0,35,0,1,1,0,0,33,5,0,0
Optimierung,419,1,4,0,10,15,72,27,76,2,0,185,0,0,1,1,3,0,0,0,0,9,0,6,2,4,0,0,0,1
Modellierung,416,25,11,8,31,16,62,26,33,11,1,43,9,9,11,2,59,6,2,2,0,5,1,19,7,10,0,0,3,4
Bildung,416,0,0,1,0,0,10,6,22,110,6,0,188,0,1,6,5,0,5,12,14,0,8,2,0,0,18,2,0,0
Politisches System,416,0,0,3,0,0,0,2,8,217,22,0,1,0,0,0,9,0,2,4,146,0,1,0,0,0,1,0,0,0
R Programm,413,0,0,1,0,0,143,1,37,15,0,176,6,1,6,0,8,0,2,0,0,0,2,3,3,9,0,0,0,0
Landwirtschaft,410,1,1,8,0,1,2,3,125,17,8,1,7,165,1,14,8,0,2,2,11,1,1,22,0,9,0,0,0,0
Europäische Integration,407,0,0,0,0,0,0,0,26,232,44,1,8,0,0,1,9,0,1,3,72,4,1,0,0,0,5,0,0,0
Moderne,403,1,0,36,0,0,0,1,2,72,3,0,16,0,2,14,6,0,88,52,40,0,34,0,0,0,36,0,0,0
Rechtsvergleich,398,0,0,0,0,0,0,1,15,27,338,0,10,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0
Gefühl,398,0,0,2,0,0,7,2,20,74,2,0,174,1,15,9,1,0,19,29,14,0,19,0,0,1,8,1,0,0
Mensch-Maschine-Kommunikation,396,1,3,3,1,4,267,29,18,16,2,5,17,0,3,6,2,0,1,5,0,5,3,1,0,1,0,0,0,3
Qualitätsmanagement,395,4,23,4,0,0,29,14,151,14,5,11,66,4,29,6,0,2,0,1,1,7,1,8,1,1,0,2,0,11
Verbraucherverhalten,393,0,2,1,1,2,6,2,238,66,7,2,25,3,0,5,0,0,0,5,9,3,0,12,0,0,0,4,0,0
Nanostrukturiertes Material,393,0,17,1,74,29,0,56,0,0,1,2,0,6,23,0,1,73,0,0,0,1,0,34,48,5,0,0,0,22
Sozialpolitik,391,0,0,2,1,0,0,0,81,198,17,1,28,1,5,2,7,0,0,2,40,0,0,2,0,1,3,0,0,0
Bevölkerungsentwicklung,390,2,0,25,0,0,1,7,114,96,7,3,30,0,7,1,80,0,0,1,8,1,0,2,0,3,1,0,0,1
Umweltpolitik,390,0,0,7,0,0,1,1,141,69,9,2,8,4,2,68,20,0,0,5,12,2,0,35,1,2,1,0,0,0
Judenvernichtung,385,0,0,2,1,0,0,1,0,111,5,0,13,0,2,3,1,0,14,4,213,0,5,0,0,1,9,0,0,0
Organisationsentwicklung,383,0,1,1,0,0,9,7,153,74,4,1,126,0,2,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0
Wirtschaftsinformatik,380,0,0,0,0,1,160,1,153,2,0,54,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Wissenschaft,380,0,0,5,4,1,10,8,12,76,11,2,35,0,4,55,4,0,23,70,24,0,17,1,0,2,16,0,0,0
Rechtsradikalismus,379,0,0,0,0,1,0,1,1,247,11,0,36,0,0,1,3,0,2,1,64,0,1,0,0,0,5,5,0,0
Informatik,378,1,1,1,2,8,272,4,16,8,0,32,11,0,0,3,5,1,0,6,0,0,1,0,2,3,0,0,0,1
Ökonometrie,378,0,0,0,0,0,40,0,191,1,0,145,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geschlechterforschung,377,0,0,4,0,0,2,4,15,192,5,0,62,0,3,1,3,0,17,30,10,0,14,0,0,0,10,5,0,0
Psychoanalyse,376,0,0,2,0,0,1,1,1,66,4,0,203,0,15,12,0,0,27,12,14,0,9,0,0,1,8,0,0,0
Umweltschutz,376,2,3,12,0,0,4,3,73,42,23,2,27,12,3,29,28,0,2,5,5,3,0,67,2,20,3,3,3,0
Thermodynamik,375,2,17,1,196,3,2,76,2,0,0,7,1,0,2,0,5,3,0,0,0,6,0,7,40,3,0,0,1,1
Social Media,374,0,0,1,0,0,62,3,52,110,21,1,46,0,2,41,1,0,11,3,5,0,13,0,0,0,2,0,0,0
Python Programmiersprache,373,0,0,0,17,8,251,5,9,3,1,65,0,0,1,0,6,1,2,0,0,0,2,0,0,2,0,0,0,0
Medien,373,0,0,6,0,0,16,9,14,88,9,0,54,0,3,56,8,0,26,19,28,0,20,0,0,0,13,4,0,0
Datenschutz,372,0,0,0,0,2,106,2,24,22,194,4,2,0,4,6,0,0,0,2,1,2,0,0,0,0,1,0,0,0
Internet der Dinge,370,10,2,7,3,22,229,9,25,1,3,15,6,4,18,1,0,0,0,0,0,3,0,1,0,0,0,0,0,11
Supply Chain Management,369,1,7,1,0,0,25,32,241,12,5,8,13,3,2,3,1,5,0,0,0,7,0,3,0,0,0,0,0,0
Spieltheorie,367,0,0,0,1,3,24,3,155,11,2,157,5,0,1,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Informationsgesellschaft,362,0,0,8,0,4,48,8,38,111,16,0,42,0,2,45,9,0,3,13,6,1,3,1,0,0,4,0,0,0
Armut,361,0,0,7,0,0,0,0,67,186,6,0,35,1,3,3,14,0,0,5,28,0,0,1,0,0,5,0,0,0
Lehrer,359,0,0,0,2,0,1,1,4,50,2,7,252,0,9,3,2,0,8,0,5,0,9,0,1,0,3,0,0,0
Programmierung,359,0,1,0,8,19,283,12,5,2,0,21,2,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0
Corporate Social Responsibility,358,0,0,1,0,0,1,3,176,24,11,1,121,0,4,2,1,0,0,1,1,0,0,5,0,0,1,5,0,0
Kryptologie,357,0,0,0,0,42,236,0,7,0,2,64,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
Feminismus,354,0,0,4,0,0,1,3,15,202,6,0,15,0,2,8,4,0,23,22,25,0,10,0,0,0,12,2,0,0
Kritik,354,0,2,1,6,0,9,1,53,103,9,2,34,4,11,11,8,0,6,32,25,1,1,6,0,3,25,1,0,0
Theologie,352,0,0,2,2,0,1,0,3,16,6,1,5,0,2,1,0,0,10,51,24,0,6,0,0,1,221,0,0,0
Algorithmus,351,1,0,2,7,10,179,7,6,19,9,90,2,0,1,2,2,0,1,3,0,3,1,1,1,3,0,0,0,1
Design,350,7,5,93,3,7,20,12,11,24,5,3,32,2,2,81,4,8,1,5,6,10,0,4,0,1,1,1,0,2
Lebensmittel,349,0,10,1,1,0,1,0,12,14,9,0,32,94,22,4,0,2,1,0,4,1,1,109,21,9,1,0,0,0
Markenpolitik,346,0,0,3,0,0,4,4,290,19,2,0,12,0,1,0,0,0,0,0,1,5,0,0,0,0,0,5,0,0
Interaktion,342,0,0,4,5,3,21,2,31,121,1,3,94,0,2,7,4,0,12,6,2,0,21,0,0,1,1,1,0,0
Soziale Situation,342,0,0,5,0,0,1,5,20,157,5,0,22,0,6,5,16,0,4,3,85,0,0,0,0,0,7,1,0,0
Cloud Computing,342,3,1,3,0,7,230,2,46,4,19,13,4,0,5,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1
Lehrerbildung,341,0,0,0,4,0,0,0,2,52,2,7,224,0,1,5,1,0,8,0,6,0,18,0,3,2,4,2,0,0
Produktentwicklung,340,1,9,1,0,3,23,94,135,8,1,4,24,5,2,3,0,1,0,0,0,8,0,16,0,0,0,0,0,2
Naturwissenschaften,339,0,2,0,21,2,17,25,3,27,0,23,35,0,6,67,0,0,12,38,8,0,9,2,4,9,29,0,0,0
Unternehmensgründung,339,0,1,0,0,0,7,15,200,23,8,2,79,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0
Gesundheitsförderung,338,0,0,5,0,0,1,15,62,63,5,0,76,1,96,6,1,0,0,0,1,0,0,1,0,0,0,5,0,0
Logistik,338,3,10,5,0,2,14,22,210,10,1,5,11,0,6,4,2,3,0,0,0,26,0,4,0,0,0,0,0,0
Regulierung,338,0,0,5,0,1,4,2,143,48,100,2,4,0,5,4,2,0,0,2,8,4,0,3,0,0,1,0,0,0
Vergangenheitsbewältigung,336,0,0,2,0,0,0,8,0,97,13,0,9,0,2,1,1,0,21,9,167,0,2,0,0,0,3,1,0,0
Multinationales Unternehmen,336,0,0,3,0,0,4,6,181,39,28,2,59,0,0,0,9,0,0,1,3,0,0,0,0,1,0,0,0,0
Rassismus,335,0,0,2,0,0,1,1,2,186,4,0,19,0,1,1,4,0,8,6,80,0,3,0,0,1,13,3,0,0
Mehrsprachigkeit,334,0,0,0,0,0,7,0,1,20,1,2,72,0,1,4,1,0,87,1,3,0,132,0,1,0,1,0,0,0
Geschlechtsunterschied,334,0,0,1,0,0,1,1,16,146,4,0,83,0,13,4,1,0,11,7,9,1,17,0,0,2,12,5,0,0
Inklusion Soziologie,334,0,0,2,0,0,0,1,13,136,4,4,143,0,2,4,0,0,1,0,4,0,5,1,0,0,9,5,0,0
Bildgebendes Verfahren,333,0,0,0,28,4,60,5,0,1,0,53,1,0,102,11,2,1,0,0,0,0,0,0,5,15,0,0,0,45
Kraftfahrzeugindustrie,332,0,9,3,0,3,12,31,150,17,4,2,35,0,0,0,0,0,0,0,3,58,0,5,0,0,0,0,0,0
Judentum,331,0,0,1,0,0,0,0,1,29,3,0,10,0,0,2,1,0,12,19,59,0,5,0,0,0,189,0,0,0
Wirtschaftswachstum,331,0,0,1,1,1,3,9,225,42,2,0,8,1,2,1,12,0,0,0,16,0,0,5,1,1,0,0,0,0
Inklusive Pädagogik,329,0,0,0,0,0,0,0,3,109,2,5,180,0,0,0,0,0,6,1,1,0,13,0,0,0,3,6,0,0
Lehrbuch,329,5,8,2,37,11,10,15,64,28,7,51,24,1,3,0,30,6,7,0,0,1,7,2,4,3,1,1,1,0
Dynamisches System,329,0,2,1,38,7,16,23,3,3,0,214,0,1,2,4,1,0,0,2,0,0,0,2,1,9,0,0,0,0
Verwaltung,328,0,0,1,0,1,7,2,37,155,74,0,11,0,0,3,0,0,0,1,34,0,1,0,0,0,1,0,0,0
Zeitschrift,327,0,0,0,1,0,0,1,142,59,53,0,53,0,0,2,0,0,4,0,7,0,1,0,1,0,3,0,0,0
Erfolgsfaktor,327,0,1,1,0,0,9,20,183,22,0,0,75,1,2,1,0,1,0,1,0,5,0,1,0,0,0,4,0,0
MATLAB,326,0,2,0,27,35,91,41,1,0,0,104,0,0,3,1,4,2,0,0,0,2,0,6,2,4,0,0,1,0
Industrie 4.0,325,4,22,6,0,11,56,36,108,17,9,3,40,0,2,1,0,1,0,0,0,7,0,2,0,0,0,0,0,0
Quantenmechanik,325,0,0,0,250,1,4,4,0,0,0,47,4,0,0,1,1,1,0,0,0,0,0,0,8,4,0,0,0,0
Begriff,325,0,0,3,4,1,0,3,5,76,28,1,40,0,3,7,10,0,22,66,22,0,12,1,0,0,20,1,0,0
Informationsmanagement,324,1,0,0,0,2,135,4,133,11,0,3,18,0,2,12,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Religionsunterricht,324,0,0,2,0,0,0,0,1,17,4,0,70,0,0,1,0,0,3,8,3,0,2,0,0,1,212,0,0,0
Antisemitismus,323,0,0,0,0,0,0,0,0,118,1,0,20,0,1,3,0,0,11,8,120,0,3,0,0,0,34,4,0,0
Fundamentalismus,320,0,0,1,0,0,0,0,0,117,2,0,4,0,0,1,3,0,1,3,49,0,0,0,0,0,139,0,0,0
Identität,320,0,0,3,0,0,2,0,7,121,3,2,37,0,3,4,10,0,24,15,49,0,14,1,0,0,24,1,0,0
Mitarbeiter,319,0,1,0,0,0,7,8,106,96,9,1,72,1,6,1,0,0,1,0,7,0,1,1,0,0,0,1,0,0
Geschäftsmodell,317,0,0,1,0,5,18,20,153,11,12,4,70,1,4,5,0,0,0,0,0,11,0,1,0,0,0,0,0,1
Unterricht,317,0,0,0,0,1,10,0,2,42,2,4,212,0,0,4,1,0,6,3,3,0,14,0,1,2,8,2,0,0
Arbeitsbedingungen,316,0,0,1,0,0,1,30,91,86,10,0,62,1,8,1,5,0,2,0,16,1,0,1,0,0,0,0,0,0
Politische Philosophie,315,0,0,0,0,0,0,0,7,81,22,0,2,0,0,0,3,0,5,174,10,0,0,0,0,0,11,0,0,0
